candidate,fold,train_n,train_wr,train_pf,train_sum_r,test_n,test_wr,test_pf,test_sum_r,params
grid_bb_std=1.4_stop_atr_mult=1.5_min_rr=0.6,4,21,0.8095238095238095,2.7017852009624286,7.5184700000000015,12,0.6666666666666666,1.4385867901161224,1.91944,"{""bb_std"": 1.4, ""stop_atr_mult"": 1.5, ""min_rr"": 0.6}"
grid_bb_std=1.4_stop_atr_mult=1.5_min_rr=0.6,5,24,0.75,1.9587010382867305,6.4736,14,0.2857142857142857,0.30775004871437256,-7.2117700000000005,"{""bb_std"": 1.4, ""stop_atr_mult"": 1.5, ""min_rr"": 0.6}"
grid_bb_std=1.4_stop_atr_mult=1.5_min_rr=0.6,6,30,0.5333333333333333,0.8021234604521429,-3.0419600000000004,4,0.75,2.604685780271728,1.7787299999999995,"{""bb_std"": 1.4, ""stop_atr_mult"": 1.5, ""min_rr"": 0.6}"
grid_bb_std=1.4_stop_atr_mult=1.5_min_rr=0.6,7,23,0.43478260869565216,0.5787453418803733,-5.716590000000001,10,0.7,1.9326756507108132,2.9988599999999996,"{""bb_std"": 1.4, ""stop_atr_mult"": 1.5, ""min_rr"": 0.6}"
grid_bb_std=1.4_stop_atr_mult=1.5_min_rr=0.6,8,18,0.6111111111111112,1.2667652327958814,2.0027799999999987,9,0.4444444444444444,0.5214782686929726,-2.55299,"{""bb_std"": 1.4, ""stop_atr_mult"": 1.5, ""min_rr"": 0.6}"
grid_bb_std=1.4_stop_atr_mult=1.75_min_rr=0.4,0,26,0.6923076923076923,1.4605128997022885,4.05582,10,0.6,1.0515651460312792,0.21741000000000008,"{""bb_std"": 1.4, ""stop_atr_mult"": 1.75, ""min_rr"": 0.4}"
grid_bb_std=1.4_stop_atr_mult=1.75_min_rr=0.4,1,25,0.64,1.2210116132212054,2.15241,9,0.6666666666666666,0.8713934766526095,-0.412,"{""bb_std"": 1.4, ""stop_atr_mult"": 1.75, ""min_rr"": 0.4}"
grid_bb_std=1.4_stop_atr_mult=1.75_min_rr=0.4,2,23,0.6086956521739131,0.8711083338355691,-1.2190200000000007,10,0.6,0.8686149562808745,-0.5540099999999998,"{""bb_std"": 1.4, ""stop_atr_mult"": 1.75, ""min_rr"": 0.4}"
grid_bb_std=1.4_stop_atr_mult=1.75_min_rr=0.4,3,21,0.6666666666666666,1.106102714382031,0.7994499999999995,12,0.9166666666666666,5.545977692861897,4.984709999999999,"{""bb_std"": 1.4, ""stop_atr_mult"": 1.75, ""min_rr"": 0.4}"
grid_bb_std=1.4_stop_atr_mult=1.75_min_rr=0.4,4,24,0.75,1.5969273492082752,3.78751,14,0.6428571428571429,1.0509175840052714,0.27665000000000034,"{""bb_std"": 1.4, ""stop_atr_mult"": 1.75, ""min_rr"": 0.4}"
